"page_id";"title";"root_template";"meta_title";"meta_keywords";"meta_description";"identifier";"is_active";"layout_update_xml";"is_new";"is_sale";"is_sale_by_rule";"include_type";"include_sku";"category";"attributes";"stock_less";"stock_more";"stock_status";"layout_heading";"layout_file";"layout_file_name";"layout_file_alt";"layout_description";"layout_static_top";"layout_static_bottom";"include_navigation";"columns_count";"include_menu";"include_menu_position";"default_sort_by";"advanced_filter_condition";"conditions_serialized";"layout_footer";"is_hide_condition_filters";"custom_design"
"1";"Sale";"two_columns_left";;NULL;NULL;"sale";"1";NULL;"0";"0";"2";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:9:""sale_type"";s:8:""operator"";s:2:""=="";s:5:""value"";s:1:""1"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"2";"Halloween Wine and Liquor";"two_columns_left";"Halloween Themed Wine and Spirits";NULL;NULL;"halloween-wine-and-liquor";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:3:""sku"";s:8:""operator"";s:2:""()"";s:5:""value"";s:107:""21859, 23774, 23802, 21645, 3222, 23801, 21715, 21680, 13508, 15677, 21341, 21459, 21290, 4233, 10465, 6135"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"3";"Black FRIDAY thru Cyber MONDAY";"one_column";"Black FRIDAY thru Cyber MONDAY";NULL;NULL;"black-friday-thru-cyber-monday";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;"out6.jpg";NULL;NULL;NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:3:""sku"";s:8:""operator"";s:2:""()"";s:5:""value"";s:125:""6919, 9108, 9345, 9446, 9448, 9449, 11968, 12434, 12730, 12806, 14404, 14501, 15066, 15084, 17257, 21682, 21745, 23838, 24911"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
